english,simplified,traditional,pinyin,japanese,related,frequency
soup,汤,,tang1,,鸡汤，糖，糖果,38.0
"bread/CL:片[pian4],袋[dai4],塊|块[kuai4]",面包,,mian4 bao1,,,28.8
drink/beverage,饮料,,yin3 liao4,,,26.9
thick paste of fermented soybean/marinated in soy paste/paste/jam,酱,,jiang4,醤油,,12.6
dessert,甜点,,tian2 dian3,,,4.47
apple pie,苹果派,,ping2 guo3 pai4,,,3.06
side dish,配菜,,pei4 cai4,,,2.08
main meal,主餐,,zhu3 can1,,,0.712
Thanksgiving Day,感恩节,,Gan3 en1 jie2,,,0.491
mashed potato,土豆泥,,tu3 dou4 ni2,,,0.476
green bean/French bean/runner bean,四季豆,,si4 ji4 dou4,,,0.461
pumpkin pie,南瓜派,,nan2 gua1 pai4,,,0.408
roast turkey,烤火鸡,,kao3 huo3 ji1,,,0.193
