english,simplified,traditional,pinyin,japanese,related,frequency
pediatrics,儿科,,er2 ke1,,,2.04
ophthalmology,眼科,,yan3 ke1,,,2.75
dentistry,牙科,,ya2 ke1,,,1.35
neurology,神经科,,shen2 jing1 ke1,,,2.6
dermatology,皮肤科,,pi2 fu1 ke1,,,2.74
urology,泌尿科,,mìniào kē,,,0.002
surgery (branch of medicine),外科,,wai4 ke1,,,9.55
plastic surgery/orthopedics,整形外科,,zheng3 xing2 wai4 ke1,,,0.206
gynecology and obstetrics/birth clinic,妇产科,,fu4 chan3 ke1,,,3.09
internal medicine/general medicine,内科,,nei4 ke1,,,3.24
pathology,病理,,bing4 li3,,,3.8
